400
2  0
2  0.031419
2  0.062853
2  0.094318
2  0.12583
2  0.1574
2  0.18906
2  0.2208
2  0.25266
2  0.28464
2  0.31677
2  0.34906
2  0.38152
2  0.41418
2  0.44705
2  0.48016
2  0.51351
2  0.54714
2  0.58105
2  0.61528
2  0.64984
2  0.68475
2  0.72004
2  0.75574
2  0.79186
2  0.82843
2  0.86548
2  0.90303
2  0.94113
2  0.97979
2  1.019
2  1.0589
2  1.0995
2  1.1408
2  1.1828
2  1.2256
2  1.2692
1.9999  1.3137
1.9999  1.3591
1.9999  1.4056
1.9999  1.453
1.9998  1.5015
1.9997  1.5511
1.9996  1.602
1.9995  1.6541
1.9993  1.7076
1.999  1.7624
1.9987  1.8186
1.9982  1.8764
1.9975  1.9357
1.9966  1.9966
1.9953  2.059
1.9936  2.123
1.9913  2.1884
1.9882  2.2551
1.9839  2.3229
1.9783  2.3913
1.9707  2.4598
1.9606  2.5276
1.9475  2.5939
1.9307  2.6573
1.9094  2.7168
1.8832  2.7711
1.8518  2.8191
1.8152  2.8603
1.7737  2.8945
1.728  2.9219
1.6788  2.9433
1.627  2.9595
1.5734  2.9716
1.5186  2.9803
1.4631  2.9866
1.4074  2.9909
1.3518  2.994
1.2965  2.996
1.2416  2.9974
1.1871  2.9984
1.1332  2.999
1.0798  2.9994
1.027  2.9996
0.97469  2.9998
0.92288  2.9999
0.87156  2.9999
0.8207  3
0.77026  3
0.72023  3
0.67058  3
0.62127  3
0.57228  3
0.52358  3
0.47515  3
0.42696  3
0.37899  3
0.3312  3
0.28358  3
0.23611  3
0.18874  3
0.14148  3
0.094279  3
0.047128  3
-4.8244e-016  3
-0.047128  3
-0.094279  3
-0.14148  3
-0.18874  3
-0.23611  3
-0.28358  3
-0.3312  3
-0.37899  3
-0.42696  3
-0.47515  3
-0.52358  3
-0.57228  3
-0.62127  3
-0.67058  3
-0.72023  3
-0.77026  3
-0.8207  3
-0.87156  2.9999
-0.92288  2.9999
-0.97469  2.9998
-1.027  2.9996
-1.0798  2.9994
-1.1332  2.999
-1.1871  2.9984
-1.2416  2.9974
-1.2965  2.996
-1.3518  2.994
-1.4074  2.9909
-1.4631  2.9866
-1.5186  2.9803
-1.5734  2.9716
-1.627  2.9595
-1.6788  2.9433
-1.728  2.9219
-1.7737  2.8945
-1.8152  2.8603
-1.8518  2.8191
-1.8832  2.7711
-1.9094  2.7168
-1.9307  2.6573
-1.9475  2.5939
-1.9606  2.5276
-1.9707  2.4598
-1.9783  2.3913
-1.9839  2.3229
-1.9882  2.2551
-1.9913  2.1884
-1.9936  2.123
-1.9953  2.059
-1.9966  1.9966
-1.9975  1.9357
-1.9982  1.8764
-1.9987  1.8186
-1.999  1.7624
-1.9993  1.7076
-1.9995  1.6541
-1.9996  1.602
-1.9997  1.5511
-1.9998  1.5015
-1.9999  1.453
-1.9999  1.4056
-1.9999  1.3591
-1.9999  1.3137
-2  1.2692
-2  1.2256
-2  1.1828
-2  1.1408
-2  1.0995
-2  1.0589
-2  1.019
-2  0.97979
-2  0.94113
-2  0.90303
-2  0.86548
-2  0.82843
-2  0.79186
-2  0.75574
-2  0.72004
-2  0.68475
-2  0.64984
-2  0.61528
-2  0.58105
-2  0.54714
-2  0.51351
-2  0.48016
-2  0.44705
-2  0.41418
-2  0.38152
-2  0.34906
-2  0.31677
-2  0.28464
-2  0.25266
-2  0.2208
-2  0.18906
-2  0.1574
-2  0.12583
-2  0.094318
-2  0.062853
-2  0.031419
-2  -6.4325e-016
-2  -0.031419
-2  -0.062853
-2  -0.094318
-2  -0.12583
-2  -0.1574
-2  -0.18906
-2  -0.2208
-2  -0.25266
-2  -0.28464
-2  -0.31677
-2  -0.34906
-2  -0.38152
-2  -0.41418
-2  -0.44705
-2  -0.48016
-2  -0.51351
-2  -0.54714
-2  -0.58105
-2  -0.61528
-2  -0.64984
-2  -0.68475
-2  -0.72004
-2  -0.75574
-2  -0.79186
-2  -0.82843
-2  -0.86548
-2  -0.90303
-2  -0.94113
-2  -0.97979
-2  -1.019
-2  -1.0589
-2  -1.0995
-2  -1.1408
-2  -1.1828
-2  -1.2256
-2  -1.2692
-1.9999  -1.3137
-1.9999  -1.3591
-1.9999  -1.4056
-1.9999  -1.453
-1.9998  -1.5015
-1.9997  -1.5511
-1.9996  -1.602
-1.9995  -1.6541
-1.9993  -1.7076
-1.999  -1.7624
-1.9987  -1.8186
-1.9982  -1.8764
-1.9975  -1.9357
-1.9966  -1.9966
-1.9953  -2.059
-1.9936  -2.123
-1.9913  -2.1884
-1.9882  -2.2551
-1.9839  -2.3229
-1.9783  -2.3913
-1.9707  -2.4598
-1.9606  -2.5276
-1.9475  -2.5939
-1.9307  -2.6573
-1.9094  -2.7168
-1.8832  -2.7711
-1.8518  -2.8191
-1.8152  -2.8603
-1.7737  -2.8945
-1.728  -2.9219
-1.6788  -2.9433
-1.627  -2.9595
-1.5734  -2.9716
-1.5186  -2.9803
-1.4631  -2.9866
-1.4074  -2.9909
-1.3518  -2.994
-1.2965  -2.996
-1.2416  -2.9974
-1.1871  -2.9984
-1.1332  -2.999
-1.0798  -2.9994
-1.027  -2.9996
-0.97469  -2.9998
-0.92288  -2.9999
-0.87156  -2.9999
-0.8207  -3
-0.77026  -3
-0.72023  -3
-0.67058  -3
-0.62127  -3
-0.57228  -3
-0.52358  -3
-0.47515  -3
-0.42696  -3
-0.37899  -3
-0.3312  -3
-0.28358  -3
-0.23611  -3
-0.18874  -3
-0.14148  -3
-0.094279  -3
-0.047128  -3
-5.5109e-016  -3
0.047128  -3
0.094279  -3
0.14148  -3
0.18874  -3
0.23611  -3
0.28358  -3
0.3312  -3
0.37899  -3
0.42696  -3
0.47515  -3
0.52358  -3
0.57228  -3
0.62127  -3
0.67058  -3
0.72023  -3
0.77026  -3
0.8207  -3
0.87156  -2.9999
0.92288  -2.9999
0.97469  -2.9998
1.027  -2.9996
1.0798  -2.9994
1.1332  -2.999
1.1871  -2.9984
1.2416  -2.9974
1.2965  -2.996
1.3518  -2.994
1.4074  -2.9909
1.4631  -2.9866
1.5186  -2.9803
1.5734  -2.9716
1.627  -2.9595
1.6788  -2.9433
1.728  -2.9219
1.7737  -2.8945
1.8152  -2.8603
1.8518  -2.8191
1.8832  -2.7711
1.9094  -2.7168
1.9307  -2.6573
1.9475  -2.5939
1.9606  -2.5276
1.9707  -2.4598
1.9783  -2.3913
1.9839  -2.3229
1.9882  -2.2551
1.9913  -2.1884
1.9936  -2.123
1.9953  -2.059
1.9966  -1.9966
1.9975  -1.9357
1.9982  -1.8764
1.9987  -1.8186
1.999  -1.7624
1.9993  -1.7076
1.9995  -1.6541
1.9996  -1.602
1.9997  -1.5511
1.9998  -1.5015
1.9999  -1.453
1.9999  -1.4056
1.9999  -1.3591
1.9999  -1.3137
2  -1.2692
2  -1.2256
2  -1.1828
2  -1.1408
2  -1.0995
2  -1.0589
2  -1.019
2  -0.97979
2  -0.94113
2  -0.90303
2  -0.86548
2  -0.82843
2  -0.79186
2  -0.75574
2  -0.72004
2  -0.68475
2  -0.64984
2  -0.61528
2  -0.58105
2  -0.54714
2  -0.51351
2  -0.48016
2  -0.44705
2  -0.41418
2  -0.38152
2  -0.34906
2  -0.31677
2  -0.28464
2  -0.25266
2  -0.2208
2  -0.18906
2  -0.1574
2  -0.12583
2  -0.094318
2  -0.062853
2  -0.031419
