 Freq (GHz)                  Error
   15.000000000000000        1293967.9787313356     
   15.300000000000001        1217118.8773634788     
   15.600000000000000        1139036.4652046268     
   15.900000000000000        1061125.9389164085     
   16.199999999999999        982925.35410214704     
   16.500000000000000        905608.02695185377     
   16.800000000000001        830237.82411593525     
   17.100000000000001        757531.21246155608     
   17.399999999999999        687999.58069900400     
   17.699999999999999        622003.36081678735     
   18.000000000000000        559779.10193504894     
   18.300000000000001        501460.43097457604     
   18.600000000000001        447097.04436349880     
   18.899999999999999        396672.15681365028     
   19.199999999999999        350118.16481536411     
   19.500000000000000        307330.29155025847     
   19.800000000000001        268178.10845157865     
   20.100000000000001        232514.93999766387     
   20.399999999999999        200185.22493895303     
   20.699999999999999        171029.93341529081     
   21.000000000000000        144890.14072065376     
   21.300000000000001        121608.85544136024     
   21.600000000000001        101031.21613592903     
   21.899999999999999        83003.230691795470     
   22.199999999999999        67369.353614701526     
   22.500000000000000        53969.378455270802     
   22.800000000000001        42635.333143076750     
   23.100000000000001        33189.232758437582     
   23.399999999999999        25442.564380022239     
   23.699999999999999        19198.156293326367     
   24.000000000000000        14254.588877447470     
   24.300000000000001        10412.621058734805     
   24.600000000000001        7482.4291599019753     
   24.899999999999999        5290.0210088206277     
   25.199999999999999        3681.1867097537684     
   25.500000000000000        2521.8657609251841     
   25.800000000000001        1694.9817891130867     
   26.100000000000001        1097.3690624178225     
   26.399999999999999        650.93508443497331     
   26.699999999999999        332.09043616508791     
   27.000000000000000        144.59235248021358     
   27.300000000000001        55.645808679447903     
   27.600000000000001        19.006401534574465     
   27.899999999999999        5.5471685314709918     
   28.199999999999999        1.2942221976445287     
   28.500000000000000       0.21845397262239252     
   28.800000000000001        2.2875698740628087E-002
   29.100000000000001        1.2914385072806927E-003
   29.399999999999999        2.2003596389209233E-004
   29.699999999999999        2.0831322341159891E-004
   30.000000000000000        2.0912934689081350E-004
   30.294117647058822        2.0990583504257630E-004
   30.588235294117645        2.5749172148799038E-004
   30.882352941176471        8.8649336536044381E-003
   31.176470588235293       0.38082103020550490     
   31.470588235294116        7.5142196945901558     
   31.764705882352938        88.244149628784882     
   32.058823529411768        718.28675980010644     
   32.352941176470587        4463.9008647219644     
   32.647058823529413        22770.966549135926     
   32.941176470588232        101933.83171441699     
   33.235294117647058        433330.61729805107     
   33.529411764705884        1959765.7138046764     
   33.823529411764703        9614768.7500697542     
   34.117647058823529        52316741.256480910     
   34.411764705882355        23755109.614666648     
   34.705882352941174        8963715.7555382550     
   35.000000000000000        6073132.7251388431     
   35.294117647058826        5218822.0732160006     
   35.588235294117645        4826723.4548210595     
   35.882352941176471        4670314.0154829994     
   36.176470588235290        23624206.247653529     
   36.470588235294123        7046121.8787524505     
   36.764705882352942        4664849.1235999363     
   37.058823529411768        3924622.1509890971     
   37.352941176470587        3415665.7633979218     
   37.647058823529413        3005648.7995056873     
   37.941176470588232        2672465.0365514983     
   38.235294117647058        2401381.0725317383     
   38.529411764705877        2180381.9195992798     
   38.823529411764710        1999773.1598223730     
   39.117647058823529        1851693.9571859012     
   39.411764705882355        1729756.2700164216     
   39.705882352941174        1628778.7580821747     
   40.000000000000000        1544572.7969980079     
   40.294117647058826        1473763.0742878008     
   40.588235294117645        1413636.6669461229     
   40.882352941176471        1362017.4650647214     
   41.176470588235290        1317163.2012668462     
   41.470588235294116        1277682.0356980253     
   41.764705882352942        1242465.1666636113     
   42.058823529411768        1210632.1192009430     
   42.352941176470587        1181486.1430392163     
   42.647058823529413        1154477.7695261945     
   42.941176470588232        1129174.7987129451     
   43.235294117647058        1105237.3326031454     
   43.529411764705884        1082411.1433585309     
   43.823529411764710        1060570.3230020418     
   44.117647058823529        1039456.6880534706     
   44.411764705882355        1018954.8348158040     
   44.705882352941174        998999.97448641073     
   45.000000000000000        979528.16120387986     
