 Freq (GHz)                  Error
   15.000000000000000        13939344991.672628        13.279309515325926     
   15.300000000000001        11159950688.234465        10.522689263585143     
   15.600000000000000        8887672067.3894272        8.3625778481563771     
   15.900000000000000        7039324236.4843445        6.6751326976086602     
   16.199999999999999        5543659141.9722223        5.3610850623084838     
   16.500000000000000        4339938611.8335991        4.3410267684997530     
   16.800000000000001        3376634256.6345773        3.5515836473930298     
   17.100000000000001        2610249184.5670056        2.9423094586113012     
   17.399999999999999        2004255759.6440747        2.4731655520403404     
   17.699999999999999        1528143071.4131279        2.1124768718117219     
   18.000000000000000        1156567378.9771469        1.8352754135253790     
   18.300000000000001        868598529.37819231        1.6219588590842884     
   18.600000000000001        647055216.66927481        1.4572055924742175     
   18.899999999999999        477921928.73571563        1.3290982491078065     
   19.199999999999999        349840509.36542225        1.2284168537874400     
   19.500000000000000        253669428.63886735        1.1480698448193556     
   19.800000000000001        182104091.33031866        1.0826371754375479     
   20.100000000000001        129351807.30384018        1.0280044795085730     
   20.399999999999999        90855387.335735053       0.98107118976800911     
   20.699999999999999        63059700.855348133       0.93951866876656609     
   21.000000000000000        43215928.262514681       0.90162698995228618     
   21.300000000000001        29218650.320643794       0.86613109902737784     
   21.600000000000001        19471332.291568924       0.83210878421646528     
   21.899999999999999        12776173.697638554       0.79889426258315488     
   22.199999999999999        8244699.6403831067       0.76601230907667428     
   22.500000000000000        5225861.2527276566       0.73312876576841457     
   22.800000000000001        3248786.8491442217       0.70001401192464519     
   23.100000000000001        1977678.3003422981       0.66651658478678832     
   23.399999999999999        1176676.5661785596       0.63254464346488981     
   23.699999999999999        682824.40951836098       0.59805338607228531     
   24.000000000000000        385532.01781690225       0.56303688043831690     
   24.300000000000001        211202.13434474039       0.52752306484344957     
   24.600000000000001        111895.45299138021       0.49157092736739127     
   24.899999999999999        57115.041423393188       0.45526908805170757     
   25.199999999999999        27961.412903706943       0.41873519238468937     
   25.500000000000000        13058.886326897593       0.38211568114250516     
   25.800000000000001        5780.6408186234939       0.34558563264954745     
   26.100000000000001        2406.1687248822159       0.30934848052719044     
   26.399999999999999        932.57937511449973       0.27363549405164084     
   26.699999999999999        332.40516036138712       0.23870497035289642     
   27.000000000000000        107.23610456746596       0.20484112911842034     
   27.300000000000001        30.660511119425919       0.17235272295111823     
   27.600000000000001        7.5513772995111763       0.14157138242886719     
   27.899999999999999        1.5394994296041311       0.11284970726199753     
   28.199999999999999       0.24517517794388313        8.6559097435019591E-002
   28.500000000000000        2.8004296331775404E-002   6.3087295060568940E-002
   28.800000000000001        2.1382924864491565E-003   4.2835583384958471E-002
   29.100000000000001        2.6847058667526228E-004   2.6215568497671156E-002
   29.399999999999999        2.0792979903506024E-004   1.3645456004876806E-002
