 Freq (GHz)                  Ez                Et
   15000000000.000000        8194559.8145802552        64170006.212727040        477823.31214645138        428298.39226807951     
   15300000000.000000        7548569.8817482898        58009272.264204428        467348.95004663320        421106.90859289293     
   15600000000.000000        6932562.6325837914        52288632.013850264        455062.94228082255        413418.03025692457     
   15900000000.000000        6346998.6086153863        46991821.528991580        442919.04893062206        403550.29097568349     
   16200000000.000000        5792169.3048941204        42101708.442854360        430237.44818725897        392277.57771935774     
   16500000000.000000        5268198.9013770362        37600477.478913993        416416.58790991420        380496.67942022759     
   16800000000.000000        4775047.7612659307        33469803.007636469        401664.38915933843        368283.72656554100     
   17100000000.000000        4312517.5698461132        29691008.984543663        386196.02759735350        355667.34256930643     
   17400000000.000000        3880257.9721125108        26245216.621740855        370175.72086143278        342700.30741913285     
   17700000000.000000        3477774.5563831171        23113480.148239762        353735.90453419072        329443.42479392193     
   18000000000.000000        3104438.0235691369        20276911.017594710        336988.36390770413        315955.17512318899     
   18300000000.000000        2759494.3772697360        17716790.924536794        320029.70741568465        302287.28596701735     
   18600000000.000000        2442075.9679275062        15414673.995438186        302944.59090647375        288483.20073840878     
   18900000000.000000        2151213.2245309413        13352478.520559551        285808.10314962588        274577.96417631331     
   19200000000.000000        1885846.9094498025        11512568.599124739        268687.82236370025        260598.86537366800     
   19500000000.000000        1644840.7356549283        9877826.0713259801        251645.70380728741        246566.54079419296     
   19800000000.000000        1426994.1905704779        8431713.1143799275        234739.82339691068        232496.40711278579     
   20100000000.000000        1231055.4169277733        7158325.8827326410        218025.95095023006        218400.37912853574     
   20400000000.000000        1055734.0080687851        6042439.5754394131        201558.91082952739        204288.87422036935     
   20700000000.000000        899713.58303742029        5069545.3166234121        185393.69046144700        190173.12694268016     
   21000000000.000000        761664.01537580136        4225879.2377375625        169586.27265101008        176067.83880142510     
   21300000000.000000        640253.19870776555        3498444.1531159002        154194.19249803657        161994.16697851542     
   21600000000.000000        534158.24185230967        2875024.2229967387        139276.84863679123        147983.00745612514     
   21900000000.000000        442075.99629111268        2344193.0008278009        124895.62192028548        134078.44863496759     
   22200000000.000000        362732.82924971217        1895315.2642186785        111113.86044293009        120341.16032042146     
   22500000000.000000        294893.56638516771        1518543.0313840713        97996.769459313888        106851.34465260454     
   22800000000.000000        237369.53905362193        1204806.1673190836        85611.203594912513        93710.720673288175     
   23100000000.000000        189025.68231555188        945797.98626179108        74025.324764979130        81042.854615299759     
   23400000000.000000        148786.64118488980        733956.25922579423        63308.110738379146        68990.989435495852     
   23700000000.000000        115641.85410539736        562440.03752510925        53528.816723457589        57712.370609860838     
   24000000000.000000        88649.594210659008        425102.70526631834        44756.663507337660        47367.949216381487     
   24300000000.000000        66939.960561616710        316461.67575378652        37060.961943037764        38106.483516314074     
   24600000000.000000        49716.823225907734        231665.14865623205        30510.718228498779        30043.144768302383     
   24900000000.000000        36258.737730390407        166456.34664794462        25168.612906487251        23236.326122608953     
   25200000000.000000        25918.856034086417        117135.65213054449        21065.001823733222        17675.081843984586     
   25500000000.000000        18123.872656077918        80521.066699827948        18128.012460029408        13306.088294220719     
   25800000000.000000        12372.055809738386        53907.418540425337        16061.237855820766        10141.093083038970     
   26100000000.000000        8230.4240709722235        35024.746527857977        14234.477552543542        8352.8213561968660     
   26400000000.000000        5331.1387960158290        21996.295746964373        11826.537063195618        7766.5123939221903     
   26700000000.000000        3367.1909330999897        13296.569532983574        8591.3606606578451        7224.8835540171294     
   27000000000.000000        2087.4707243690455        7709.8989106019162        5378.4243695105597        5958.0701585209445     
   27300000000.000000        1291.3373697321626        4289.9912097886363        3020.8075625393649        4338.8914512410774     
   27600000000.000000        822.90415175778548        2320.7473561633492        1602.9378091972426        2888.7614005810283     
   27900000000.000000        565.40776053830075        1277.6127279972875        865.81155271680200        1820.9237295924750     
   28200000000.000000        435.71931731415151        786.82808658763054        550.26920402237658        1139.4223368404532     
   28500000000.000000        378.08273172572734        588.32024070297848        434.13276877750786        760.14169659507888     
   28800000000.000000        357.13179331339143        520.97127782373650        383.29732508065700        581.91735224304762     
   29100000000.000000        352.11094999477581        504.97656065919512        359.81798377822400        518.88236250254067     
   29400000000.000000        352.48628732467921        505.59664580430729        353.47899937639738        507.09596482052234     
   29700000000.000000        354.06704189870953        509.15968205465907        354.08769985304292        509.18742957675863     
   30000000000.000000        355.75943140325825        511.87612715302868        355.75943140325825        511.87612715302868     
   30294117647.058823        357.40872309715871        513.30182250618418        357.43534582179893        513.33312995524216     
   30588235294.117645        359.14727491819229        514.01957128053471        361.05349129232161        516.19068718345568     
   30882352941.176472        361.81806533493301        518.27684186333306        385.69152960215331        545.90038339891703     
   31176470588.235294        368.45185087101845        542.56409629915822        530.76186126424136        753.08065154969222     
   31470588235.294117        386.52747283583869        629.79020741423687        1211.8150884005390        1796.3299002650092     
   31764705882.352940        433.27871488994379        869.22615677867100        3474.6627030046543        5196.6078667951933     
   32058823529.411766        550.92204860399363        1424.8766731589621        9330.0018091381644        13682.141225040976     
   32352941176.470589        829.54013809295964        2572.6718529697687        22364.909757557984        31630.982494846085     
   32647058823.529411        1412.6696729458874        4742.5001023254172        48918.875685512125        65467.982710572971     
   32941176470.588234        2497.4591643485410        8567.1514871520139        102104.84547646358        126855.81072865086     
   33235294117.647060        4357.3173429218696        14940.575441883304        220106.75021443609        256006.41185208558     
   33529411764.705883        7371.5121325006676        25085.100349404420        572852.19961831009        628173.48874306120     
   33823529411.764706        12053.696908050855        40627.518594944078        1975150.3297492694        1278450.1937343630     
   34117647058.823528        19082.585678235377        63684.364923562862        5099059.7000791039        2561978.8589061117     
   34411764705.882355        29336.649696216726        96956.768562150333        3132765.8607896790        3292683.5934112542     
   34705882352.941177        43933.368011262624        143835.23861568124        1976011.9540924325        2292495.8905711188     
   35000000000.000000        64273.275545462551        208514.72638416968        1642957.6998301691        1895513.4675954361     
   35294117647.058823        92089.033225916064        296120.29957298067        1468967.5469042999        1746934.6592492121     
   35588235294.117645        129499.76113659776        412843.75777112151        1305915.6376885083        1708550.4934522226     
   35882352941.176468        179070.88886225288        566091.51398926112        1021050.7076057692        1807727.8851678187     
   36176470588.235291        243879.78496736134        764644.06270150992        1411223.0378661912        3983398.9421655177     
   36470588235.294121        327587.43187410838        1018827.3504469047        1936440.4454630092        593378.81445872888     
   36764705882.352943        434516.41476436920        1340696.3605230406        1477872.3279343841        464496.74620655749     
   37058823529.411766        569735.49434058799        1744231.2186127128        1262084.2847050074        816339.96341155411     
   37352941176.470589        739151.03374728456        2245546.1213144036        1101105.7210992365        1072352.9527695756     
   37647058823.529411        949605.54988364212        2863111.3844955554        964495.37776566984        1164964.3078345356     
   37941176470.588234        1208983.6588327936        3617988.9031544132        843631.76074737520        1184151.5127102421     
   38235294117.647057        1526325.6842513257        4534081.3090611668        735118.90773573297        1174757.3449890998     
   38529411764.705879        1911949.1963353811        5638395.1068539452        637114.55281726900        1154390.3973760628     
   38823529411.764709        2377578.7474272954        6961318.0634910325        548315.00808555132        1130238.0518252489     
   39117647058.823532        2936484.0684643099        8536911.1200075261        467665.20725542639        1105469.6922672191     
   39411764705.882355        3603626.9883094151        10403215.088395730        394282.39742547926        1081570.7287509516     
   39705882352.941177        4395817.3355544722        12602572.390123401        327435.88380630413        1059246.7577832718     
   40000000000.000000        5331878.0796577260        15181964.086324241        266538.00971028465        1038803.7931625322     
   40294117647.058823        6432819.9652819000        18193362.443045817        211142.88955365634        1020324.9285330508     
   40588235294.117645        7722025.8904452352        21694099.268115979        160973.28323256856        1003762.5488336503     
   40882352941.176468        9225445.2755978722        25747250.249201298        116043.90054912733        988992.04579374020     
   41176470588.235291        10971798.667000543        30422035.515473053        77156.142837077190        975845.95608487749     
   41470588235.294113        12992792.813824734        35794236.637978263        48091.017497726178        964137.23116536101     
   41764705882.352943        15323346.454226581        41946630.276330195        40931.435920024211        953675.48468866979     
   42058823529.411766        18001827.041279882        48969438.671693631        57710.348990887687        944277.72752977617     
   42352941176.470589        21070298.635110851        56960797.178248316        81860.116077705490        935774.64459426980     
   42647058823.529411        24574781.182857767        66027239.017359629        106403.85630861277        928013.39585768885     
   42941176470.588234        28565521.403217237        76284197.430593416        129691.31104257936        920857.19044589216     
   43235294117.647057        33097275.487331215        87856525.399470493        151324.63327516045        914179.80652942159     
   43529411764.705887        38229603.822651483        100879033.09146711        171288.35037018787        907870.51302592957     
   43823529411.764709        44027177.941188052        115497043.18324319        189752.34998199483        902016.22784347436     
   44117647058.823532        50560099.888246194        131866964.20343535        206567.29910155371        896432.28065090731     
   44411764705.882355        57904234.202377371        150156882.02854604        221923.21084819958        890988.34408436518     
   44705882352.941177        66141552.691849865        170547169.65655765        235973.80159187928        885688.19322439854     
   45000000000.000000        75360492.187501386        193231115.37386924        248827.35368589073        880508.10224247572     
