 Freq (GHz)                  Error
   15.000000000000000        5950.2342451490767     
   15.300000000000001        5797.4139019319837     
   15.600000000000000        5726.1419420214970     
   15.900000000000000        5711.5075777259481     
   16.199999999999999        5735.7866927167515     
   16.500000000000000        5786.1891409055734     
   16.800000000000001        5851.8878995180894     
   17.100000000000001        5917.4016540848106     
   17.399999999999999        5944.6308554265051     
   17.699999999999999        5829.9662562004987     
   18.000000000000000        5357.8918345406755     
   18.300000000000001        4369.6565311003496     
   18.600000000000001        3219.1362912339846     
   18.899999999999999        2422.4880734356193     
   19.199999999999999        2033.2270376510210     
   19.500000000000000        1962.3314012053165     
   19.800000000000001        1852.1366840365276     
   20.100000000000001        1758.5439453068934     
   20.399999999999999        1674.4164135374431     
   20.699999999999999        1594.9066694352446     
   21.000000000000000        1520.4962816329198     
   21.300000000000001        1453.7532843437307     
   21.600000000000001        1397.4391713745442     
   21.899999999999999        1353.1294896218865     
   22.199999999999999        1319.3116960255782     
   22.500000000000000        1287.3801136325335     
   22.800000000000001        1234.9514031137321     
   23.100000000000001        1123.8239036919708     
   23.399999999999999        917.31331238990413     
   23.699999999999999        618.78819673300154     
   24.000000000000000        372.04226276651463     
   24.300000000000001        271.37227803282957     
   24.600000000000001        196.93933733028391     
   24.899999999999999        121.66984187890240     
   25.199999999999999        63.991589617806596     
   25.500000000000000        30.343578755998823     
   25.800000000000001        13.178861894280507     
   26.100000000000001        5.2844958769601051     
   26.399999999999999        1.9625326318689253     
   26.699999999999999       0.67228826028729871     
   27.000000000000000       0.20872983501379758     
   27.300000000000001        5.9958329184120779E-002
   27.600000000000001        1.7304409965060996E-002
   27.899999999999999        6.3560731154115625E-003
   28.199999999999999        3.9054854959252997E-003
   28.500000000000000        3.4561488121776329E-003
   28.800000000000001        3.4291285727229550E-003
   29.100000000000001        3.4963587989593641E-003
   29.399999999999999        3.5783296934368838E-003
   29.699999999999999        3.6627697803061211E-003
   30.000000000000000        3.7488298937356206E-003
   30.294117647058822        3.8342685238954787E-003
   30.588235294117645        3.9202681220949663E-003
   30.882352941176471        4.0072187047545341E-003
   31.176470588235293        4.1251054751701259E-003
   31.470588235294116        4.2508924165894583E-003
   31.764705882352938        4.6437161438312802E-003
   32.058823529411768        6.3401193751533198E-003
   32.352941176470587        1.3718259696120465E-002
   32.647058823529413        4.3344567672443012E-002
   32.941176470588232       0.15598384276344235     
   33.235294117647058       0.59045414804479623     
   33.529411764705884        2.5563934282101424     
   33.823529411764703        18.348935718059231     
   34.117647058823529        39031.661427269464     
   34.411764705882355        82.155386574423744     
   34.705882352941174        50.155778147415695     
   35.000000000000000        54.345177807102118     
   35.294117647058826        69.598214592147329     
   35.588235294117645        93.935375310671120     
   35.882352941176471        128.69338826787722     
   36.176470588235290        176.51756358715659     
   36.470588235294123        240.95879957904887     
   36.764705882352942        326.35603915244258     
   37.058823529411768        437.74017043568620     
   37.352941176470587        580.64025698735031     
   37.647058823529413        760.82724114133089     
   37.941176470588232        984.73053413828859     
   38.235294117647058        1261.5450705819726     
   38.529411764705877        1603.4250750951749     
   38.823529411764710        2021.4394368228061     
   39.117647058823529        2526.3637325098093     
   39.411764705882355        3133.4423394089622     
   39.705882352941174        3859.8797796812632     
   40.000000000000000        4713.1295853348793     
   40.294117647058826        5691.2416080468656     
   40.588235294117645        6794.6598249073468     
   40.882352941176471        8028.3161406513500     
   41.176470588235290        9397.9198804396310     
   41.470588235294116        10907.719484164567     
   41.764705882352942        12559.916793464510     
   42.058823529411768        14354.951243025673     
   42.352941176470587        16292.110358015480     
   42.647058823529413        18369.590431553974     
   42.941176470588232        20584.286371713315     
   43.235294117647058        22931.915998962839     
   43.529411764705884        25407.040550438753     
   43.823529411764710        28002.939553651337     
   44.117647058823529        30711.809424712970     
   44.411764705882355        33525.133396787351     
   44.705882352941174        36433.903710267419     
   45.000000000000000        39428.724861623115     
