 Freq (GHz)                  Error
   15.000000000000000        41115.854131380067        3.2123284046679337     
   15.300000000000001        32753.928491590646        2.6698375243427570     
   15.600000000000000        25966.925935925919        2.2431576725613587     
   15.900000000000000        20482.194570624899        1.9075195312416937     
   16.199999999999999        16070.240293146324        1.6433088516545842     
   16.500000000000000        12538.455926082808        1.4350268475309920     
   16.800000000000001        9725.7133043216363        1.2704528331815275     
   17.100000000000001        7497.6955376913756        1.1399707019622691     
   17.399999999999999        5742.8671602758232        1.0360281412111962     
   17.699999999999999        4368.9962295920323       0.95270335705783649     
   18.000000000000000        3300.1555725452599       0.88535882503622010     
   18.300000000000001        2474.1410016867044       0.83036541781838724     
   18.600000000000001        1840.2529956875248       0.78488336958054794     
   18.899999999999999        1357.3954788244741       0.74668906018583625     
   19.199999999999999        992.45127602496495       0.71403865493605956     
   19.500000000000000        718.89881817350101       0.68556130751584365     
   19.800000000000001        515.63892428206225       0.66017599718234199     
   20.100000000000001        366.00414489012104       0.63702718415608905     
   20.399999999999999        256.92633166441249       0.61543537610461141     
   20.699999999999999        178.24089134879898       0.59485944114194234     
   21.000000000000000        122.10865663079846       0.57486810931133348     
   21.300000000000001        82.538514569212751       0.55511859980958711     
   21.600000000000001        54.995914949083414       0.53534071545164197     
   21.899999999999999        36.084166809294665       0.51532507563576402     
   22.199999999999999        23.287044795778080       0.49491442800056312     
   22.500000000000000        14.762685977876183       0.47399719833509596     
   22.800000000000001        9.1800764671752937       0.45250261742708614     
   23.100000000000001        5.5906169240996260       0.43039691009473657     
   23.399999999999999        3.3283261817216037       0.40768015194507140     
   23.699999999999999        1.9332007766783610       0.38438349854639381     
   24.000000000000000        1.0931023112979257       0.36056657376805079     
   24.300000000000001       0.60030092210054886       0.33631487219256445     
   24.600000000000001       0.31946806979968950       0.31173708711492670     
   24.899999999999999       0.16449165740422858       0.28696232239930591     
   25.199999999999999        8.1987376376056631E-002  0.26213718448196582     
   25.500000000000000        3.9808460652602233E-002  0.23742278075622769     
   25.800000000000001        1.9218021098009061E-002  0.21299167279248699     
   26.100000000000001        9.6901846700141944E-003  0.18902484748479995     
   26.399999999999999        5.5546952971774113E-003  0.16570877637391981     
   26.699999999999999        3.9006864132460706E-003  0.14323263325374616     
   27.000000000000000        3.3150967660698846E-003  0.12178573310635421     
   27.300000000000001        3.1555367146947795E-003  0.10155524211681359     
   27.600000000000001        3.1518909115066797E-003   8.2724190055896374E-002
   27.899999999999999        3.2007687359405044E-003   6.5469794156443037E-002
   28.199999999999999        3.2668614696203272E-003   4.9962079608718450E-002
   28.500000000000000        3.3396285107059913E-003   3.6362758144714881E-002
   28.800000000000001        3.4162839633930064E-003   2.4824305254255028E-002
   29.100000000000001        3.4960086934934104E-003   1.5489160787487953E-002
   29.399999999999999        3.5783278240739238E-003   8.4889692739252218E-003
   29.699999999999999        3.6627697799477849E-003   3.9437770280267891E-003
   30.000000000000000        3.7488298937356150E-003   1.9611141474022149E-003
   30.294117647058822        3.8342685236251073E-003   2.5956392809448822E-003
   30.588235294117645        3.9202665281860153E-003   5.8581698453256063E-003
   30.882352941176471        4.0063503951065964E-003   1.1808327945045587E-002
   31.176470588235293        4.0920877652007069E-003   2.0489316677719752E-002
   31.470588235294116        4.1771523297387250E-003   3.1926533084064318E-002
   31.764705882352938        4.2616690698270227E-003   4.6126308793604937E-002
